X,Y,OBJECTID,Date,SUM_number_of_confirmed_covid_1,SUM_no_new_admissions_covid19_p,SUM_no_discharges_covid19_posit
-6.292,53.3605,287,2020/12/18 11:00:00+00,206,13,11
-6.292,53.3605,288,2020/12/19 11:00:00+00,206,12,9
-6.292,53.3605,289,2020/12/20 11:00:00+00,220,13,7
-6.292,53.3605,290,2020/12/21 11:00:00+00,235,8,2
-6.292,53.3605,291,2020/12/22 11:00:00+00,237,11,16
-6.292,53.3605,292,2020/12/23 11:00:00+00,239,14,16
-6.292,53.3605,293,2020/12/24 11:00:00+00,255,24,17
-6.292,53.3605,294,2020/12/25 11:00:00+00,253,14,24
-6.292,53.3605,295,2020/12/26 11:00:00+00,268,19,3
-6.292,53.3605,296,2020/12/27 11:00:00+00,321,31,4
-6.292,53.3605,297,2020/12/28 11:00:00+00,360,39,8
-6.292,53.3605,298,2020/12/29 11:00:00+00,409,36,14
-6.292,53.3605,299,2020/12/30 11:00:00+00,454,60,27
-6.292,53.3605,300,2020/12/31 11:00:00+00,491,51,41
-6.292,53.3605,301,2021/01/01 11:00:00+00,508,45,48
-6.292,53.3605,302,2021/01/02 11:00:00+00,581,74,20
-6.292,53.3605,303,2021/01/03 11:00:00+00,673,75,23
-6.292,53.3605,304,2021/01/04 11:00:00+00,744,53,21
-6.292,53.3605,305,2021/01/05 11:00:00+00,817,79,68
-6.292,53.3605,306,2021/01/06 11:00:00+00,921,100,64
-6.292,53.3605,307,2021/01/07 11:00:00+00,1022,109,59
-6.292,53.3605,308,2021/01/08 11:00:00+00,1153,104,60
-6.292,53.3605,309,2021/01/09 11:00:00+00,1285,112,72
-6.292,53.3605,310,2021/01/10 11:00:00+00,1426,134,43
-6.292,53.3605,311,2021/01/11 11:00:00+00,1575,105,24
-6.292,53.3605,312,2021/01/12 11:00:00+00,1690,158,95
-6.292,53.3605,313,2021/01/13 11:00:00+00,1750,126,104
-6.292,53.3605,314,2021/01/14 11:00:00+00,1792,151,116
-6.292,53.3605,315,2021/01/15 11:00:00+00,1846,129,115
-6.292,53.3605,316,2021/01/16 11:00:00+00,1848,116,137
-6.292,53.3605,317,2021/01/17 11:00:00+00,1923,109,45
-6.292,53.3605,318,2021/01/18 11:00:00+00,2020,107,39
-6.292,53.3605,319,2021/01/19 11:00:00+00,1954,114,164
-6.292,53.3605,320,2021/01/20 11:00:00+00,1941,172,140
-6.292,53.3605,321,2021/01/21 11:00:00+00,1949,114,118
-6.292,53.3605,322,2021/01/22 11:00:00+00,1969,132,98
-6.292,53.3605,323,2021/01/23 11:00:00+00,1893,115,141
-6.292,53.3605,324,2021/01/24 11:00:00+00,1914,81,48
-6.292,53.3605,325,2021/01/25 11:00:00+00,1948,66,44
-6.292,53.3605,326,2021/01/26 11:00:00+00,1823,95,154
-6.292,53.3605,327,2021/01/27 11:00:00+00,1727,88,140
-6.292,53.3605,328,2021/01/28 11:00:00+00,1620,76,136
-6.292,53.3605,329,2021/01/29 11:00:00+00,1552,109,103
-6.292,53.3605,330,2021/01/30 11:00:00+00,1494,105,109
-6.292,53.3605,331,2021/01/31 11:00:00+00,1515,75,33
-6.292,53.3605,332,2021/02/01 11:00:00+00,1529,54,30
-6.292,53.3605,333,2021/02/02 11:00:00+00,1418,74,109
-6.292,53.3605,334,2021/02/03 11:00:00+00,1366,71,86
-6.292,53.3605,335,2021/02/04 11:00:00+00,1308,92,82
